ID,출생연도,고객_교육수준,고객_결혼여부,고객_소득,고객_자녀수,고객_청소년수,고객_가입날짜,고객_최신구매일_경과기간,고객_와인_구매금액,고객_과일_구매금액,고객_육류_구매금액,고객_생선_구매금액,고객_사탕_구매금액,고객_골드_구매금액,고객_할인품목_구매횟수,고객_회사사이트_통한_구매횟수,고객_카탈로그_통한_구매횟수,고객_매장방문_구매횟수,고객_지난달_회사사이트_방문횟수,캠페인1_수락여부,캠페인2_수락여부,캠페인3_수락여부,캠페인4_수락여부,캠페인5_수락여부,불만제기,target
train_0,1969,박사,기혼,30396.0,1,0,2014-04-30,22,15,0,6,0,1,12,2,1,1,2,7,0,0,1,0,0,0,1
train_1,1967,박사,기혼,36947.0,1,1,2012-08-07,49,88,3,21,4,1,29,4,3,0,4,9,0,0,0,0,0,0,0
train_2,1949,석사,사별,47570.0,1,1,2013-05-29,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,0,1
train_3,1976,석사,기혼,81929.0,1,0,2012-09-29,60,1486,55,278,49,0,185,2,4,4,10,6,0,0,1,0,1,0,1
train_4,1982,고졸,기혼,57937.0,0,1,2014-02-16,56,261,42,144,55,48,133,3,4,4,9,3,0,0,0,0,0,0,0
train_5,1969,학사,동거,21918.0,1,0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0
train_6,1970,박사,기혼,67536.0,0,1,2013-05-22,45,1253,0,447,23,71,35,3,11,5,11,8,1,0,0,0,0,0,0
train_7,1983,박사,기혼,50150.0,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0
train_8,1976,학사,이혼,31615.0,1,0,2013-03-16,82,2,3,20,6,11,9,2,2,0,3,7,0,0,0,0,0,0,0
train_9,1979,학사,미혼,48526.0,1,0,2013-12-24,32,23,17,23,43,20,9,1,2,1,4,3,0,0,0,0,0,0,0
train_10,1968,석사,이혼,23748.0,1,0,2012-11-21,97,6,6,29,12,15,8,3,2,1,3,8,0,0,0,0,0,0,0
train_11,1984,고졸,기혼,35684.0,1,0,2014-04-22,66,10,4,7,0,6,3,1,1,0,3,6,0,0,0,0,0,0,0
train_12,1952,석사,동거,40442.0,1,1,2012-08-19,52,45,12,52,25,22,13,4,3,1,4,7,0,0,0,0,0,0,1
train_13,1973,학사,기혼,79593.0,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,0,0,1,0,0
train_14,1983,박사,이혼,90687.0,0,0,2013-05-22,98,982,17,672,23,34,51,1,6,2,8,2,0,0,0,0,1,0,1
train_15,1969,학사,기혼,73448.0,0,0,2014-02-10,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0
train_16,1959,석사,동거,82576.0,0,0,2012-08-01,66,1206,55,445,168,18,18,1,2,4,12,1,0,0,0,0,1,0,0
train_17,1996,고졸,기혼,7500.0,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1
train_18,1973,학사,기혼,49094.0,0,1,2012-09-21,6,376,0,38,11,8,69,5,6,3,6,6,0,0,0,0,0,0,0
train_19,1989,초졸_중졸,기혼,25443.0,1,0,2012-12-22,82,1,4,3,8,9,7,1,1,0,3,8,0,0,0,0,0,0,0
train_20,1986,석사,기혼,80141.0,0,0,2013-01-11,20,1184,102,673,52,40,40,1,7,4,10,6,0,0,0,0,1,0,1
train_21,1978,학사,동거,53172.0,0,1,2013-05-06,54,121,62,90,68,20,125,3,2,3,8,3,0,0,0,0,0,0,0
