날짜,리뷰
2021-03-25,S인데도 굉장히 박시하네요 사진상으론 약간 빛 바랜 검정으로 나왓는데 빛때메 그렇고 실제론 걍 검정이어유 키 기준으로 궁딩이 거의 안보여유 여튼 도톰하니 맘에 듭니당
2021-01-19,팔길이가 조금 긴 것 같은데 신경 쓰일 정돈 아니고 딱 오버핏이에요 기모도 따뜻해요 사진은 햇빛때문에 조금 밝게 나왔는데 실제론 딱 블랙이에요
2022-11-21,"핏은 오버핏이고 자수가 귀여워요
근데 한번 세탁+건**지 하고 입었는데 먼지 장난아니에여
건조기에 검은먼지 짱많이껴요 주의하세야"
2022-11-11,"키 168에 55반 / m사이즈 박시하게 입기에 좋아요
기모도 따뜻하고 모자도 커서 휘뚜루마뚜루 입기에 딱입니다ㅎㅎ"
2021-12-22,"사이즈는 완전 오버핏이지만 예뻐요
근데 새옷인데도 검은옷에 겉에 흰 먼지가 많이 붙어왓어요ㅠ
그리고 앞에 로고 자수부분이 마감이 조금 덜 되왓어요
그래도 예뻐서 그냥 입습니당"
2021-01-26,너무너무너무 커요 원래 후드티 크게입는거 좋아해서 라지나 엑라 입는데 허벅지 반 이상 가리네요 ㅠㅠㅠ  안감이나 재질은 다 맘에들어요
2022-10-13,기모가 있어서 입었을 때 따뜻하고 부드러워요! 자수가 있어서 포인트도 되구요 ㅎㅎ 다만 초반에 입었을 때는 기모 털이 이너에 많이 붙네요
2021-12-11,"모자가 큰게 이쁘긴 한데...
모자 때문에 뒷면의 귀여운 그림이 안보여서 아쉬워요
그래도 넉넉하게 입기 너무 좋고 예뻐요
키 166인데 엉덩이 덮습니다"
2021-11-12,뒤에 그림이 너무 예뻐요! 먼지가 잘묻어서 입기전에 돌돌이 필수긴 하지만 따숩고 지금 날씨에 입기 딱이에요
2020-12-24,"뚱뚱이 인데 커다랗고 좋습니당
고양이를 키우고 있어서 털이 많이 묻었네요ㅋㅋ
다만 후드 끈에 하자가 있더라구요
그거 말고는 전부 만족합니당"
2020-11-22,퀼리티도 좋고 두께도 적당하고 딱 좋아용 ! 키가 160 정도 되시는 분들 s사면 살짝 오버핏 ? 정도로 입으실 수 잇어요
2023-02-09,저번에 다른 후드를 엠으로 시켰을때 많이커서 이번엔 에스로 시켰습니다 딱 입기 좋네요 ㅎ 밑부분은 넉넉해서 아주 좋습니다
2020-06-02,프리싸이즈라 조마조마 하긴 했는데 역시나 엄청나게 크네요... 입고 학원 갔더니 친구들이 아빠옷 입었니 합니다... 사진으론 잘 안보이실 텐데 옷이 엉덩이를 다 덮고도 남습니다. 엄청 크고요 저처럼 157/42 정도인 분들은 추천하진 않습니다. 너무 커요. 제질이나 마감은 아주 괜찮습니다. 가성비는 좋지만 제게는 너무너무 커서 좀 입기 부담스러운 옷이 되어버렸네요 ㅠㅠ
2021-03-24,"생각보다는 천이 얇아서 좀 그랬는데 다른 부분은 꽤 괜찮은 것 같아요ㅎㅎ
색깔은 화면하고 비슷하고 그냥 무난해용! 핏은 엉덩이를 덮을 정도?이에요"
2021-06-29,남자가 입기에도 무난해요!! 기장은 조금 짧나? 싶긴 하지만 입는데 크롭처럼 짤막한게 아니라 입는데는 전혀 문제 없을것 같아요!! 일반 면티 같은 재질이라 많이 두껍지 않고 휘뚜루마뚜루 입기 좋은것 같아요ㅎㅎ
2021-06-29,"남친이랑 가볍게 걸치기 좋은 후드집업 찾다가 구매했어요!! (남친 키는 참고로 178cm입니다!)
확실히 여자옷이라 조금 짧은감이 있긴 하지만 그냥 휘뚜루마뚜루 입기 좋을것 같아요!! 너무 두껍지 않아서  카페나 대중교통 같은 에어컨 틀어놓은 곳에서 입기 좋을것 같아요!"
2023-04-03,배송은 되게 빠릅니다 ㅋㅋㅋ 거의 하루만에 왔어요 근데 생각보다 엄청 크네요 엉덩이 덮는기장감입니다 그래도 옷이 두껍지않아서 애매한날씨에 막입기 좋은거같아요
2021-10-04,"저한테는 조금 커요 ㅠㅠ 근데 딱 교복에 입으면
완전 짱이뻐요 전에 검정색을 샀었는데 회색후드집업이 필요해서 또 구매를 했는데 너무 맘에 듭니다 ㅠㅠ
근데 실밥이 많이 튀어나와있어서 자르느라 힘들었네요 ㅠㅠㅠ
그래도 후회는 안합니당!"
2020-10-07,생각보다 얇습니다 만약에 살때 두꺼운 질감을 원하시는 분께는 추천드리지 않아요 사이즈는 딱맞기보단 아주 살짝 펑퍼짐 하고 크기는 적절합니다
2020-09-06,"생각보다 얇아서 조금 놀랐어요! 딱 봄가을용 두께더라구요. 가격이 싼데 되게 부드러워요. 배송 받고 열었을때, 원래 대부분 엄청나게 센 새 옷 냄새가 나는데 이 후드집업은 새 옷 냄새도 안나더라구요. 핏도 딱 제가 원하던 루즈, 오버핏이에요. 지퍼 맨밑에 부분에 실밥 하나가 튀어나와있긴 한데 이정도면 가성비 갑입니다 진짜."
2020-05-29,옷이 좀 많이 컷어요. 그래도 색은 이쁘고 얇기는 좀 얇아서  봄이나 초여름 저녁에 추울때 입으면 좋겠네요.
2021-06-30,핏도 예쁘게 나오고 모자도 커서 운동할 때나 편하게 입고 밖에 나갈 때 입기 너무 좋아요ㅠㅠㅠ엄청 얇지도 두껍지도 않아서 선선한 날 막 입기 좋을 것 같아요!!
2020-11-03,"넉넉하게 입으려고 산 거라 핏은 맘애 들었습니다.
엄청 얇아서 봄가을에 적당한 두께예요. 실내에서 편히 입으려고 산 거라 가격대비 만족합니당"
2021-05-08,"데일리로 입고 다니기 좋고 무게도 가벼운 편이라 좋아요
약간 박시한걸 좋아해서  사이즈 딱 괜찮은것같아요"
2021-10-24,사이즈는 저한테는 완전 오버핏은 아니고 좀 큰편이었고 화면보다는 약간 및및한 느낌이 들었어요 가슴에만 포인트가 있어서 그런가.. 그래도 은근히 이쁘고 가볍게 입을수있는거 같아요
2020-10-14,두꺼운 옷입기에도 좋고 그냥 잠깐 나갔다 올때 입기도 좋을꺼 같아요 근데 지퍼 올릴때 살짝 소리가 싼 느낌 이긴 한데 나름대로 괜찮은 것 같아요
2020-07-25,생각한것보다 좀 많이 얇지만 선선할때 입으면 딱 괜찮은것 같아요!  모자가 살짝 무거운감이 없지 않아 있어서 아쉽긴 하지만 마음에 들어요!!
2023-05-29,깔끔하고 일교차 있을때 가볍게 입거나 집근처 카페갈 때 휘뚜루 마뚜루 입기 편한 옷이에요. 생각보다 두껍지 않고 얇아서 좋아요
2021-09-29,"옷 자체는 너무 이쁘고 핏도 이뻐요, 근데 약품냄새가 쫌 나서 빨아서 입어야할거 같아요.. 학교갈때 입어도 좋을거 같아요"
2021-04-14,"딸아이가 입으려고 샀어요
재질도 부드럽고 지금 입기 딱좋네요
먼지가 붙는 소재가 아니여서 더 마음에들어요 
딸아이가 만족해합니다~"
2021-03-23,재질이 되게 얇고요 나중에 학교에서 에어컨 추울 때 걸쳐입기 괜찮은 거 같아요
2020-08-12,"옷감이 좀 얇긴하지만 오버핏이 딱 예뻐요.
겨울에는 못입겠는데 봄,가을이나 여름에 실내에서 추울때는 좋아요."
2021-03-04,엄청 얇아서 초여름까지 입을 수 있어요!. 교복 위에 입기 좋고 지퍼 잠구고 옷을 쭉 내리면 엉덩이 가릴락말락하네요! 엄청 잘 입을 것 같아요~
2021-03-11,"소매는 전 딱히 넉넉한 편은 아니였어요! 기장은 엉덩이 덮을정도구용 교복이랑 같이 입으니 이쁘더라구요!!!
다들 꼭 사세요!"
2020-10-05,아주아주 무난템 핏도 무난 퀄리티도 무난 가격도 무난 집에 하나쯤 쟁여놔도 될 것 같아요
2020-07-21,여름에 입으려고 사긴했지만 얇다는 후기가 많아서 혹시 질이 안좋은가 걱정했는데 괜찮아요
2021-06-01,많이 얇은데 지금 계절에 입기 딱 좋아요! 날씨 쌀쌀할 때도 걸쳐서 입기 좋아용 ㅎㅎㅎ
2020-10-21,보들보들해서 좋아요! 엉덩이 밑까지 덮었으면 좋겠다고 생각했는데 거의 생각한거랑 비슷한 길이라서 좋았어요!
2020-08-28,살짝 루즈한 후드집업을 좋아해서 샀는데 괜찮았어요 ! 키 164 기준으로 살짝 골반까지 갔어요 !
2020-04-28,후드티에 입어도 괜찮을까 싶었는데 후드티가 더 두꺼운 제질이라ㅜ입기 뭐 했어요 반팔이랑 입으면 예쁠듯 하네요
2022-04-17,지금 날씨에 입기 딱 좋은것같아요! 학교갈때 교복이랑 잘 어울리고 편해서 만족해요!
2020-07-25,사이즈랑 재질다 괜찮아요 브라운색으로 구매했는데 생각보다 쨍한 갈색인것같아여
2022-04-02,전체적으로는 예뻤지만 안쪽에 마감이 깔끔하지는 못했어요그래도 만족합니다
2021-09-27,면도 부들하고 모자도 커서 마음에듭니당
2021-07-25,얇아서 여름에 입기 좋아요. 그냥 얇은 면재질입니다.
2020-11-05,커서 교복위에 입기편해요. 그리고 소재도 적당하고 가을까지는 입기 좋은 것 같아요
2020-09-27,"엄청얇긴한데 핏 이쁩니다
간절기용으로 걸치기 좋은거같아요"
2020-08-05,"마감은 별론데 이쁘네요
얇아서 편하게 입고 나갈때 좋을거 같네요"
2020-09-20,생각보다 얇은데 예쁘네요 마감도 괜찮고 부들부들해서 입기좋아요.
2020-09-26,학교에서 에어컨 바람이 세서 샀는데 얇아서 좋은것 같아요.
2021-06-14,얇아서 여름에 입기 좋아요. 그냥 맨투맨 면티 느낌입니다.
2021-04-15,"사기 전에는 많이 클거라고 생각했는데 막상 입으니까 살짝 큰 정도에요 맘에 드는데 옷에서 좀 식초냄새가 났어요ㅠㅠ 옷을 빨고 입을거라 상관없지만..
어쨌든 잘 입겠습니다!!"
2021-04-13,회색후드티가있어서 검은색으로 구매했읍니다   실용적이고 괜찮읍니다~~
2021-03-27,"핏이랑 색감, 착용감 모두 맘에 들었어요."
2021-03-10,가격 대비 퀄리티는 좋지만 생각보다 오버핏 사이즈가 아니였어요
2021-01-07,입기 편해서 좋았고 디자인도 무난해서 괜찮았어요
2020-10-29,사이즈는 작은데 착용감은 괜찮고 색깔도 그대로여서 좋았어요
2021-05-07,기모인데 생각보다 얇았어요 여름에도 쌀쌀한 아침이나 밤에 입을 수 있을 것 같아요. 그리고 예상은 했지만 팔 정말 길어요.. 길이는 엉덩이 다 가립니다. 핏은 괜찮아요 근데 어깨랑 팔 부분 박음질 너무 잘 보여서 놀랐어요 이런 디자인인 걸 몰랐거든요 별로인 건 아니라서 걍 넘어가요 중간중간 실밥도 많이 튀어나왔는데 처치곤란인 부분도 있어서 별 하나 뺄게요... 그리고 처음 왔을 때 뭐가 많이 붙어있어서 돌돌이 꼭 해야 돼요.
2021-03-25,넉넉하게 입을만한 집업이에요 이상하거나 특이하게 디자인된 부분이 전혀 없어서 깔끔하고 맘에드네요 근데 기모없는걸 시켰더니 확실히 조금 얇네요 어느정도 흐물거리는건 감수해야돼요 참고하세요
2021-03-20,검정색 티 위에 입으면 먼지같은게 너무 많이 묻어서 빨고 입었는데도 엄청 묻어서 뒤집어서도 흔들어주고 테이프로 전체적으로 한번씩 청소했는데 그 이후로 아직 나갈일이 없어서 안 입었지만 핏이랑 색깔이 너무 마음에들고 원하던 후드자켓이어서 완전 잘 입을거 같아요! 지금같이 일교차 커서 아침 저녁으로 쌀쌀한 날에 입기 좋은것 같아요!!!
2021-03-12,"보들보들하고 따근따근하고 완전 짱이다~~
키 159정도인데 엉덩이 완전히 닾고요 소매는 길어서 한 번 접어도 길고요 근데 진짜 따뜻하고요 색깔 너무너무너무 이쁘고요 보드라워서 너무 좋아요. 지금 날씨가 착용하기? 딱 좋다~~"
2021-03-04,"품이 넉넉하고 커서 개인적으로 좋아하는 핏이예요!
다만 안감이 까끌한게 단점인듯..
바온에서 다른 맨투맨도 샀었는데 안감이 영 아쉬워요 ㅠㅠ"
2020-11-21,약간 안감이 수건재질 ??? 이긴한데 거칠다나 그렇진 않아요! 아무래도 겨울재질은 아니지만 봄여름가을에 가볍게 걸치기에 좋아요 그리고 핏 정말 이쁘게 커서 손이 자주갑니당
2020-09-03,후드 짱이예요. 아주 원하던 핏에 깔끔한 그레이라 그냥 입어도 예쁘고 편리합니다ㅠㅠ 바온이 기본템을 잘 만드는거 같아요 사고 싶은거 또 있는데 금방 또 지를거 같네요ㅋㅋ
2021-04-21,옷 자체는 좋아요!! 근데 저는 키가 173이어서 입었을 때 기장이 폼에 비해 조금 짧다는 생각이 들었어요. 가오핏 생각하면 될 것 같아요. 그리고 소매는 진짜 길고 완전 펑퍼짐해서 키가 70이상인 분들한테는 모델 핏이 나올 것 같아요
2020-11-07,"사이즈 완전 박시하고 얇아요!
옷 자체에 힘이 없어서 축 져지는 느낌이 있네요!
가격대비 퀄리티는 약간 별로인거 같네요!"
2020-09-27,제가 원하는 핏이어서 너무 만족했어요 그런데 안에 까만색 잔털?들이 너무 많이 묻어나와서 놀랐어요... 돌돌이로 몇번 해주니까 사라져서 괜찮아요🙂 아무튼 너무 예쁘고 만족입니당
2022-09-30,오버핏 후드집업 갖고싶어서 샀는데 제 생각보다 더 더 컸어요 163기준 엉덩이 다 덮어요 색은 사진이랑 거의 동일합니당
2020-12-25,"아래 쭈리 부분이 조이지 않구 좋습니당 
오버핏 좋아하는 키 168기준으류 살짝만 더 길면 좋겠지만 그래도 입기 좋아요~"
2020-10-08,"바온 첫 주문인데 진짜 맘에 드는 옷을 샀네요><
길이도 품도 마음에 들어요 다만 먼지같은 그런게 너무 많아서 별점 하나 깎아요ㅠㅠ"
2021-09-17,"같이 산 야상 안에 입었는데 딱 예뻐요
생각보다 팔부분이 너무 커서 조금 부해보이긴 하지만 맘에 듭니당"
2022-09-23,"음 뭔가 바온 옷은 사는것마다 부해보이는 효과가,,후드가 뭔가 목아래 부분이 엄청 빵빵해 보여요 생각보다 길이도 별로 길진 않아요!"
2020-05-17,딱 생각했던 루즈핏에 아무때나 편하게 걸치기 좋아요 지금 날씨에 저녁에 입어도 덥지 않은 두께감이에용
2022-02-23,무난무난하고 적당히 입을만해요 가격은 좀 비싼듯 그래도 만족! 냄새 하루이틀 빼고 입어야할것같아요
2021-04-22,처음에 검정색 티 입었다가 먼지가 엄청 묻어서 당황했지만 한 번 세탁하고 입으니 처음보다 먼지가 덜 뭍어요.
2021-03-11,핏은 좀더 컸으면 좋을거같아여.. 퀄리티는 딱 생각한 그 까실까실한 재질?
2021-01-31,흐물거리지 않고 탄탄해요 지퍼를 잠궜을때 지퍼가 울퉁불퉁 하긴하는데 괜찮아요
2020-10-20,"기본으로 갖고있어야 하는 아주 베이직한 후드 집업
무난초 합니다
레이어드 하기에 좋은 얇기네요"
2020-08-31,유니** 제품이라 그런지 사이즈가 넉넉해서 좋아요! 날씨가 쌀쌀해지면 입기 좋을 것 같습니다
2021-05-02,무난하게 입을 수 있는 후드집업이에요 생각한 거 보다 더 얇아서 아쉽긴하지만 가격대비 괜찮아요!
2020-11-02,걍 무난무난 갠찬 근데 생각보다 질이 좋진 않음 모자핏도 스파브랜드 탑x이 이쁜듯
2021-04-03,사진이랑 똑같아용 두께도 원하던만큼 얇아서 봄철에 입기 떡좋어요
2023-03-28,안감도 보들하고 얇은데 따뜻해요 색감도 이뻐요
2020-05-09,데일리로 적당 ! 핏도 넉넉하게 나와서 편하고 좋네요
2021-10-15,무난하고 커서 좋아요 모양 안잡히는 후드집업!
2021-03-30,"160에 뚱뚱한 편인데 길이는 엉덩이 반쯤 덮습니당
생각보다 널널해서 좋았어용 근데 주머니에 물건 넣으면 잘 쳐져서ㅠㅡㅜ"
2020-10-31,"품이랑 길이가 생각보다 크네요! 
몇번 빨면 쪼그라드는거 생각하면 괜찮은 거 같아요"
2021-04-16,"오트밀 셋트로 삿어요
배송이 느려서 날씨 안추워젺으면 하마터면 못입고 1년 기다릴 뻔 했는데 다행히 왔어요
후드집업은 조금만 더 오버핏이였으면 좋았을텐데 그래도 예뻐요 키가 큰 편인데도 팔도 안짧고 딱 보기 좋아요 처음 입을 때 검정옷 안에입었는대 흰색 뭔가 많이 나왔는데 이제 괜찮아지겠죠..? 시간차 공격으로 셋트 받았는데 이거 산 뒤로 이거만 입어요.. ㅎ 학교에 작업하러 갈 일만 있어서 ㅋㅋ 배송만 빨랐다면 다른 색도 사서 돌려입고싶은데 언제 올지 모르겠어서ㅜㅜ 멈추고 다른 슬렉스나 사입으려그용!"
2021-11-15,"핏은 제 체격 기준으로 세미오버핏 정도고요
봄 가을에 쌀쌀한 날 입기 좋은 기모정도 된다고 보시면 될 듯
양기모라고 적혀있는데 음 얇게 깔린 양기모?
집에 양기모 옷 많아서 비교했을 때 좀 얇다고 느꼈음
마감 깔끔한 편이고 핏은 예쁨 배송도 빨랐음"
2022-09-09,"색감도 넘 이쁘고 핏도 딱 좋고 넘 좋은데
도착해서 뜯어보니까 먼지가... 
한번 털었는데 어마어마하게 실밥들이 나오더라구요 ㅠ
한번 드라이 하고 입는거 추천"
2021-11-14,같이 주문한 조거팬츠는 늦게오려나봐요ㅠㅠ 후드집업 생각보다 탄탄하고 패딩이나 코트안에 입으면 안답답하고 좋은 두께감입니다~! 4계절 입기에는 기모보다 일반이 더 좋은듯해여^^
2021-10-08,"색상이 약간 빛때뮨에 노랗게 나왔지만 완전 하얀색이구
크기도 그냥 보통이에요!
다만 안에 안감 보풀이 떨어지는거랑 냄새가 좀 아쉽네요ㅠㅠ"
2020-05-14,"팔이 긴편인데 제가 입어도 팔이 긴편이고
컬러와 소재는 만족스러우나 지퍼같은 부자재가 가격대비 저렴한 티가 나는게 조금 아쉬워요.
여기 저기 잘 입어질 것 같아요."
2022-04-24,조거팬추랑 세트로 입으려고 주문했는데 저한테는 모델핏은 안나오네요 많이  얇은 건 아니지만 그래도 탄탄하고 괜찮아요 ㅋㅋㅋ색깔  좋음여 ㅋㅋㅋ
2021-07-11,"착샷이 운동할 때 찍은 것 뿐이라 ㅠㅠ 
저 55반~66 입는데 저한테두 여유로운 오버핏이라 좋아요 :) 
퀄리티는 막 엄청 좋다 너무 좋다는 아니구 그냥 무난하네 정도? 입니다!"
