ID,성별,고령자여부,기혼여부,부양가족여부,가입기간,집전화이용여부,다중회선여부,인터넷이용방식,인터넷보안서비스사용여부,인터넷백업서비스사용여부,기기방화벽서비스사용여부,인터넷기술지원서비스사용여부,스트리밍TV여부,스트리밍영화여부,약정기간,지로여부,지불방법,한달요금,총지불요금,이탈여부
train_0,1,0,0,0,23,1,0,광,0,1,0,1,0,0,0,0,메일,79.1,1783.75,0
train_1,1,0,0,0,1,1,0,디지털,0,0,0,0,0,0,0,0,메일,45.4,45.4,1
train_2,0,0,0,0,23,1,1,광,0,0,1,1,1,1,0,0,메일,104.05,2470.1,1
train_3,1,0,0,0,11,1,0,디지털,0,0,1,1,0,1,1,1,신용카드,64.9,697.25,0
train_4,1,0,0,0,5,1,1,광,0,0,0,0,1,0,0,0,전자,85.2,474.8,1
train_5,1,0,1,1,68,1,1,디지털,1,1,1,1,1,1,2,1,신용카드,88.0,6161.9,0
train_6,0,0,1,0,36,1,0,,0,0,0,0,0,0,1,1,메일,20.0,666.75,0
train_7,1,0,0,0,44,0,0,디지털,0,0,1,0,1,1,1,0,전자,49.05,2265.0,0
train_8,1,0,0,0,6,1,1,광,0,0,0,0,0,0,0,0,메일,73.85,401.3,0
train_9,0,0,1,0,71,1,0,디지털,0,1,1,1,1,1,2,0,신용카드,79.1,5564.85,0
train_10,0,0,0,0,44,1,0,디지털,1,0,0,1,1,0,1,1,전자,65.4,2774.55,0
train_11,0,0,1,1,25,1,0,광,0,1,0,0,0,0,0,0,전자,75.5,1901.05,0
train_12,1,0,1,1,34,0,0,디지털,1,0,1,1,1,1,1,1,메일,61.25,1993.2,0
train_13,1,0,1,1,0,0,0,디지털,1,0,1,1,1,0,2,0,자동이체,52.55,0.0,0
train_14,0,0,1,1,61,1,0,광,0,1,1,1,1,1,1,1,신용카드,103.9,6449.15,0
train_15,1,0,1,1,45,1,1,,0,0,0,0,0,0,2,0,신용카드,24.65,1171.3,0
train_16,1,0,0,0,9,1,0,광,0,0,0,0,1,1,0,0,메일,88.4,788.6,0
train_17,0,0,1,1,49,1,0,디지털,1,1,0,1,0,0,0,1,신용카드,59.6,2970.3,0
train_18,0,0,0,0,52,1,0,디지털,1,1,0,0,1,0,2,0,신용카드,63.25,3342.45,0
train_19,0,0,1,1,45,1,1,광,0,1,1,1,1,1,2,0,자동이체,109.75,4900.65,0
train_20,0,0,0,0,1,0,0,디지털,0,0,0,0,0,1,0,0,전자,35.55,35.55,1
train_21,1,0,0,0,2,1,0,,0,0,0,0,0,0,0,1,메일,20.35,45.3,0
train_22,1,0,1,1,17,1,1,,0,0,0,0,0,0,0,1,메일,24.1,409.9,1
train_23,1,0,1,0,72,1,1,광,1,1,1,1,1,1,2,1,신용카드,112.1,7965.95,0
train_24,1,0,0,0,13,1,0,,0,0,0,0,0,0,0,0,메일,19.3,279.3,0
train_25,1,1,1,0,58,1,0,광,1,1,0,1,1,1,1,0,신용카드,105.5,6205.5,1
train_26,0,0,0,0,5,1,0,디지털,0,0,1,1,0,0,0,1,전자,56.15,291.45,0
train_27,1,0,0,1,11,0,0,디지털,1,0,0,1,0,0,1,0,메일,36.05,402.6,0
train_28,1,0,0,0,8,1,0,,0,0,0,0,0,0,2,1,메일,20.0,141.6,0
train_29,0,1,1,0,24,1,0,광,0,0,1,0,1,1,0,0,전자,93.15,2231.05,1
train_30,0,0,1,1,13,1,0,디지털,0,0,0,0,1,1,1,0,전자,64.75,877.35,0
train_31,0,0,0,1,12,1,1,광,0,0,0,0,0,0,0,0,신용카드,73.75,871.4,1
train_32,0,1,1,0,8,0,0,디지털,0,1,1,0,0,1,0,0,메일,43.35,371.4,0
train_33,1,1,1,0,26,1,0,광,0,0,1,0,1,0,0,0,신용카드,85.7,2067.0,0
train_34,0,0,0,1,1,1,0,,0,0,0,0,0,0,0,1,메일,20.05,20.05,0
train_35,0,0,1,0,10,1,0,광,0,0,0,0,0,0,0,0,전자,70.3,738.2,1
