ID,나이,연간소득,주택소유상태,근로기간,대출목적,대출금액,이자율,신용거래기간,target
train_0,39,170000,임대,9.0,부채통합,17000,12.99,14,0
train_1,22,60000,모기지론,6.0,교육,2800,10.99,4,0
train_2,23,48152,모기지론,7.0,의료,9500,7.29,2,0
train_3,25,62496,모기지론,1.0,주택개선,8000,7.51,2,0
train_4,22,41500,임대,6.0,개인사업,2500,15.62,2,0
train_5,25,47000,모기지론,5.0,교육,10400,11.49,2,0
train_6,21,18000,임대,5.0,개인사업,1800,6.62,3,0
train_7,23,216000,모기지론,5.0,부채통합,21000,8.9,3,0
train_8,25,63000,모기지론,3.0,교육,3000,13.47,2,0
train_9,23,25100,소유,7.0,교육,10800,14.59,3,0
train_10,27,25200,임대,3.0,의료,6000,7.9,5,0
train_11,24,45000,모기지론,0.0,투자,10625,14.27,2,1
train_12,29,78000,모기지론,2.0,개인사업,18000,6.62,5,0
train_13,29,62000,소유,4.0,교육,15000,6.03,7,0
train_14,22,72000,임대,6.0,의료,12000,10.99,4,0
train_15,27,61200,모기지론,5.0,의료,4500,11.86,7,0
train_16,33,66500,모기지론,1.0,교육,9200,,6,0
train_17,51,120000,모기지론,2.0,개인사업,30000,7.9,22,0
train_18,24,37200,모기지론,2.0,의료,8000,7.88,4,1
train_19,28,60000,모기지론,5.0,의료,6000,10.99,6,0
train_20,23,36300,임대,0.0,투자,4000,7.68,2,0
train_21,30,51000,모기지론,4.0,개인사업,2000,10.99,10,0
train_22,22,80000,모기지론,6.0,개인사업,5000,7.14,2,0
train_23,27,81193,임대,2.0,부채통합,12000,10.71,6,0
train_24,23,28000,소유,6.0,투자,7000,9.99,4,0
train_25,22,20640,임대,0.0,교육,2500,12.68,3,0
train_26,34,36000,임대,5.0,부채통합,14000,7.51,6,1
train_27,22,21600,임대,0.0,교육,9600,7.49,2,1
train_28,25,48074,임대,4.0,교육,12000,13.85,4,0
train_29,26,30000,임대,7.0,부채통합,5000,14.42,4,1
train_30,25,45996,임대,2.0,부채통합,5000,,4,1
train_31,24,30000,임대,4.0,의료,1400,15.62,4,1
train_32,32,105000,임대,15.0,교육,3000,,7,0
train_33,23,151200,임대,7.0,부채통합,28000,11.11,2,0
train_34,27,54000,모기지론,4.0,의료,9000,6.62,10,0
train_35,22,42000,임대,7.0,부채통합,7500,17.04,2,1
train_36,28,75000,소유,11.0,교육,12000,12.69,5,0
train_37,30,60000,모기지론,,부채통합,6000,12.73,6,0
train_38,28,35000,임대,4.0,교육,13250,10.65,7,1
train_39,22,32400,임대,4.0,투자,4000,,2,1
train_40,29,50000,소유,3.0,주택개선,4200,9.91,5,0
train_41,23,24000,임대,4.0,교육,12250,13.16,3,1
train_42,33,48000,임대,4.0,부채통합,3600,11.99,10,0
train_43,31,60000,임대,1.0,의료,6200,8.59,7,0
train_44,27,54000,임대,6.0,부채통합,5000,11.99,10,1
train_45,32,68000,임대,9.0,투자,3800,16.89,8,0
train_46,28,42200,모기지론,5.0,투자,13200,11.48,8,0
train_47,24,70000,소유,,교육,6000,5.42,2,0
train_48,23,36000,임대,5.0,의료,10000,9.99,4,0
train_49,34,32000,임대,0.0,의료,4500,6.62,6,0
train_50,22,24000,모기지론,5.0,교육,5000,7.9,2,0
train_51,34,25000,임대,0.0,의료,10000,7.29,9,1
train_52,35,88020,임대,6.0,개인사업,6000,15.37,8,0
train_53,28,132650,모기지론,12.0,의료,20000,10.65,5,0
train_54,26,66000,임대,10.0,개인사업,14000,6.62,3,0
train_55,26,44000,임대,0.0,의료,8400,14.5,3,1
train_56,22,59000,모기지론,6.0,부채통합,6400,,4,0
train_57,24,200000,모기지론,8.0,주택개선,12000,13.49,2,0
train_58,23,50000,임대,0.0,교육,8000,14.27,4,0
train_59,22,40000,모기지론,6.0,개인사업,14400,12.69,3,0
train_60,32,40000,임대,1.0,의료,4000,13.49,8,0
train_61,39,75000,모기지론,6.0,부채통합,16000,7.88,14,0
train_62,23,23760,임대,2.0,부채통합,2800,,2,0
train_63,33,121000,모기지론,0.0,교육,17600,13.57,5,0
train_64,31,130000,모기지론,10.0,의료,9800,8.49,5,0
train_65,25,65900,임대,2.0,부채통합,10000,8.49,2,0
train_66,30,114400,모기지론,14.0,투자,8000,8.94,7,0
train_67,26,108000,모기지론,5.0,개인사업,13000,8.94,2,0
train_68,23,33600,모기지론,8.0,개인사업,8000,6.99,2,0
train_69,30,44000,모기지론,1.0,교육,6800,6.91,7,0
train_70,24,45000,모기지론,8.0,투자,6000,7.51,4,0
train_71,23,30000,임대,1.0,부채통합,10000,16.0,4,1
train_72,30,32400,임대,0.0,개인사업,9000,11.22,10,0
train_73,25,49000,소유,4.0,투자,2500,6.76,3,0
train_74,25,38060,임대,9.0,부채통합,2500,12.53,2,0
train_75,27,43218,임대,11.0,투자,5300,14.65,10,0
train_76,28,24000,임대,0.0,부채통합,5000,11.86,5,0
train_77,24,31200,임대,7.0,개인사업,9000,10.38,4,0
train_78,26,80730,모기지론,7.0,주택개선,9600,7.29,2,0
train_79,33,29000,임대,0.0,투자,10000,13.06,9,1
train_80,21,65000,임대,6.0,개인사업,12000,14.3,3,0
train_81,43,65000,모기지론,2.0,교육,24000,10.99,13,0
train_82,34,120000,모기지론,4.0,의료,16800,6.91,6,0
train_83,28,36000,임대,2.0,주택개선,7500,10.39,9,1
train_84,30,105000,모기지론,14.0,의료,7725,,9,0
train_85,24,46000,모기지론,5.0,교육,10000,9.99,2,0
train_86,23,34992,모기지론,4.0,교육,22550,15.96,3,0
train_87,26,59020,모기지론,10.0,개인사업,7000,10.0,2,0
train_88,31,73000,모기지론,3.0,투자,12000,,8,0
train_89,28,39000,임대,6.0,의료,3600,16.29,8,1
train_90,26,49200,모기지론,8.0,교육,4800,6.17,3,0
train_91,31,50000,임대,5.0,의료,8800,6.17,9,0
train_92,61,10636,임대,3.0,개인사업,4000,12.21,25,1
train_93,35,122000,모기지론,3.0,투자,25000,15.2,10,1
train_94,24,52800,임대,1.0,의료,8000,12.87,3,0
train_95,27,75000,임대,2.0,교육,14000,9.63,5,0
train_96,28,36000,모기지론,5.0,의료,15450,,8,1
train_97,31,98000,소유,10.0,주택개선,5100,6.03,6,0
train_98,24,65000,임대,3.0,교육,3500,7.74,3,0
train_99,30,45000,임대,0.0,개인사업,6000,12.69,8,0
train_100,48,72000,모기지론,5.0,주택개선,7000,14.96,17,0
train_101,23,60000,모기지론,7.0,교육,10500,,4,0
train_102,49,23004,임대,6.0,개인사업,3250,15.21,12,0
train_103,24,55032,임대,8.0,교육,12000,9.63,2,0
train_104,45,45000,모기지론,14.0,주택개선,14000,6.62,12,0
train_105,28,39600,임대,6.0,투자,4500,10.25,10,0
train_106,22,36000,모기지론,2.0,투자,7750,9.99,4,0
train_107,22,41900,임대,3.0,교육,10500,8.49,2,0
train_108,37,65000,임대,7.0,교육,9000,6.91,14,0
train_109,28,55000,임대,2.0,부채통합,3200,12.98,7,0
train_110,23,60000,임대,4.0,교육,14000,14.84,3,0
train_111,26,47000,임대,7.0,개인사업,15000,7.9,3,1
train_112,27,90000,모기지론,4.0,주택개선,20000,12.42,10,0
train_113,29,62000,모기지론,5.0,부채통합,10000,5.99,8,0
train_114,31,85000,임대,5.0,투자,16000,11.34,6,0
train_115,23,55000,모기지론,7.0,교육,15000,,4,0
train_116,31,64000,임대,9.0,개인사업,8000,14.22,5,0
train_117,29,66901,모기지론,13.0,의료,9475,,10,0
train_118,25,19200,임대,5.0,교육,5875,14.11,3,1
train_119,29,45000,소유,8.0,개인사업,8000,12.21,5,0
train_120,23,83000,모기지론,0.0,투자,20000,14.54,4,0
train_121,29,15000,임대,,부채통합,2600,16.29,10,1
train_122,25,75000,모기지론,5.0,교육,5800,,2,0
train_123,42,224000,모기지론,16.0,교육,25000,11.86,15,0
train_124,26,50000,임대,8.0,개인사업,3000,9.88,4,0
train_125,36,33000,임대,2.0,개인사업,4000,,17,1
train_126,23,35000,임대,5.0,개인사업,5000,6.99,2,0
train_127,22,44400,임대,4.0,부채통합,7500,8.49,4,1
train_128,47,65000,임대,1.0,부채통합,3100,13.49,12,0
train_129,21,60000,임대,3.0,교육,10000,12.18,2,0
train_130,35,115000,모기지론,4.0,주택개선,7200,13.85,10,0
train_131,30,71400,임대,0.0,부채통합,9600,12.61,9,0
train_132,23,75800,임대,0.0,교육,7000,6.54,4,0
train_133,26,24000,모기지론,5.0,개인사업,2100,13.11,3,0
train_134,25,127000,모기지론,9.0,개인사업,6000,9.91,2,0
train_135,39,38400,임대,5.0,교육,3500,12.99,15,0
train_136,25,50000,임대,2.0,개인사업,7200,8.49,2,0
train_137,31,27000,임대,7.0,주택개선,6000,8.94,6,1
train_138,23,42000,임대,0.0,투자,5000,,3,1
train_139,26,50760,임대,3.0,부채통합,9000,8.94,2,0
train_140,30,46000,소유,14.0,개인사업,6000,12.68,6,0
