ID,나이,연간소득,주택소유상태,근로기간,대출목적,대출금액,이자율,신용거래기간,target
train_0,26,33996,임대,10.0,투자,7000,8.0,2,0
train_1,34,84000,임대,3.0,개인사업,9000,5.79,10,0
train_2,22,24702,임대,,교육,2000,13.23,4,2
train_3,24,69996,임대,3.0,부채통합,2500,12.53,3,1
train_4,26,58125,모기지론,10.0,투자,6000,10.25,2,1
train_5,35,115000,모기지론,4.0,주택개선,7200,13.85,10,2
train_6,29,54996,임대,8.0,의료,9300,9.32,7,0
train_7,22,41604,소유,1.0,교육,14400,,4,1
train_8,27,21000,임대,5.0,의료,4000,11.49,9,1
train_9,24,24148,임대,1.0,교육,9975,11.48,4,1
train_10,34,31075,모기지론,3.0,교육,7400,7.51,6,0
train_11,21,98280,모기지론,2.0,부채통합,10000,6.62,2,0
train_12,31,36400,모기지론,0.0,투자,8000,14.46,9,3
train_13,34,48989,소유,10.0,교육,2400,7.14,5,0
train_14,33,65000,임대,17.0,투자,12000,,8,2
train_15,27,30000,모기지론,3.0,개인사업,5350,13.06,6,2
train_16,22,33300,임대,0.0,부채통합,13250,,4,1
train_17,23,24000,임대,7.0,개인사업,8000,7.29,2,0
train_18,29,148410,모기지론,5.0,의료,11200,16.89,9,3
train_19,21,68000,임대,3.0,의료,3000,11.78,4,2
train_20,23,32000,임대,0.0,주택개선,7000,14.26,4,2
train_21,24,24000,소유,4.0,투자,6400,8.88,4,1
train_22,22,36000,임대,,개인사업,10000,6.03,3,0
train_23,25,79000,임대,5.0,교육,15000,12.18,3,1
train_24,21,61490,임대,5.0,교육,7200,10.99,3,1
train_25,26,200000,모기지론,10.0,주택개선,12000,11.71,2,1
train_26,22,48132,임대,5.0,의료,10000,11.71,4,1
train_27,31,17000,임대,2.0,의료,4000,14.59,9,3
train_28,25,57424,임대,2.0,의료,12000,15.31,4,3
train_29,29,42000,모기지론,2.0,주택개선,1200,12.98,10,2
train_30,31,30000,모기지론,,투자,5000,,7,0
train_31,34,58000,모기지론,18.0,주택개선,4000,5.42,8,0
train_32,26,70000,모기지론,10.0,부채통합,2500,10.99,3,1
train_33,35,60000,임대,19.0,투자,21725,15.62,10,3
train_34,42,68000,모기지론,2.0,투자,5000,7.51,17,0
train_35,26,72000,모기지론,1.0,주택개선,10500,15.28,2,3
train_36,23,56500,모기지론,7.0,의료,9800,,2,0
train_37,25,65000,임대,8.0,투자,18000,,3,0
train_38,27,48500,임대,1.0,투자,17500,12.42,9,1
train_39,30,27600,모기지론,3.0,교육,2250,15.62,9,3
train_40,28,57000,임대,2.0,주택개선,6000,13.49,8,2
train_41,30,98000,모기지론,8.0,투자,3500,7.68,10,0
train_42,24,45000,임대,0.0,교육,4000,15.99,3,3
train_43,35,33000,소유,0.0,교육,2000,13.98,6,2
train_44,25,80000,소유,9.0,개인사업,2700,10.59,4,1
train_45,35,92000,모기지론,19.0,의료,14400,6.99,10,0
train_46,33,21000,임대,0.0,개인사업,6500,7.66,6,0
train_47,27,76788,모기지론,0.0,부채통합,17000,12.42,10,1
train_48,24,25000,임대,3.0,교육,3000,8.32,2,0
train_49,37,28800,임대,0.0,교육,5500,6.03,15,0
train_50,24,65000,모기지론,8.0,개인사업,3300,7.51,4,0
train_51,23,33000,임대,4.0,교육,10000,14.65,3,2
train_52,30,125000,모기지론,5.0,의료,8000,7.74,10,0
train_53,36,16908,모기지론,,의료,3000,5.42,11,0
train_54,28,30100,임대,0.0,개인사업,7800,14.35,10,2
train_55,25,35220,임대,2.0,부채통합,10500,7.29,3,0
train_56,29,125000,모기지론,0.0,투자,10000,5.79,9,0
train_57,34,38000,소유,1.0,투자,10000,8.94,6,0
train_58,24,41000,임대,3.0,교육,7200,12.53,2,1
train_59,26,37200,모기지론,1.0,개인사업,6000,10.36,2,1
train_60,36,84695,임대,2.0,의료,12000,7.29,14,0
