날짜,확진자수,사망자수,지역,위도,경도
2020-04-10 09:00:00.000,12,0,제주특별자치도,35.958,126.712189
2020-04-10 09:00:00.000,595,2,서울특별시,37.56667,126.97806
2020-04-10 09:00:00.000,126,3,부산광역시,35.17944,129.07556
2020-04-10 09:00:00.000,6807,142,대구광역시,35.87222,128.6025
2020-04-10 09:00:00.000,85,0,인천광역시,37.45639,126.70528
2020-04-10 09:00:00.000,27,0,광주광역시,35.15972,126.85306
2020-04-10 09:00:00.000,39,0,대전광역시,36.35111,127.385
2020-04-10 09:00:00.000,40,1,울산광역시,35.53889,129.31667
2020-04-10 09:00:00.000,115,0,경상남도,35.498692,128.747406
2020-04-10 09:00:00.000,615,11,경기도,37.26389,127.179108
2020-04-10 09:00:00.000,1327,48,경상북도,35.837855,129.173126
2020-04-10 09:00:00.000,15,0,전라남도,34.946739,127.698212
2020-04-10 09:00:00.000,17,0,전라북도,35.95133,126.951141
2020-04-10 09:00:00.000,46,0,세종특별자치시,36.4875,127.28167
2020-04-10 09:00:00.000,45,0,충청북도,36.995972,127.926178
2020-04-10 09:00:00.000,49,1,강원도,37.757687,128.873749
2020-04-10 09:00:00.000,138,0,충청남도,36.476515,127.082977
2020-04-11 09:00:00.000,599,2,서울특별시,37.56667,126.97806
2020-04-11 09:00:00.000,126,3,부산광역시,35.17944,129.07556
2020-04-11 09:00:00.000,6814,145,대구광역시,35.87222,128.6025
2020-04-11 09:00:00.000,85,0,인천광역시,37.45639,126.70528
2020-04-11 09:00:00.000,27,0,광주광역시,35.15972,126.85306
2020-04-11 09:00:00.000,41,1,울산광역시,35.53889,129.31667
2020-04-11 09:00:00.000,46,0,세종특별자치시,36.4875,127.28167
2020-04-11 09:00:00.000,39,0,대전광역시,36.35111,127.385
2020-04-11 09:00:00.000,49,1,강원도,37.757687,128.873749
2020-04-11 09:00:00.000,45,0,충청북도,36.995972,127.926178
2020-04-11 09:00:00.000,138,0,충청남도,36.476515,127.082977
2020-04-11 09:00:00.000,17,0,전라북도,35.95133,126.951141
2020-04-11 09:00:00.000,15,0,전라남도,34.946739,127.698212
2020-04-11 09:00:00.000,1330,48,경상북도,35.837855,129.173126
2020-04-11 09:00:00.000,115,0,경상남도,35.498692,128.747406
2020-04-11 09:00:00.000,12,0,제주특별자치도,35.958,126.712189
2020-04-11 09:00:00.000,624,11,경기도,37.26389,127.179108
2020-04-12 09:00:00.000,41,1,울산광역시,35.53889,129.31667
2020-04-12 09:00:00.000,602,2,서울특별시,37.56667,126.97806
2020-04-12 09:00:00.000,126,3,부산광역시,35.17944,129.07556
2020-04-12 09:00:00.000,6816,146,대구광역시,35.87222,128.6025
2020-04-12 09:00:00.000,86,0,인천광역시,37.45639,126.70528
2020-04-12 09:00:00.000,27,0,광주광역시,35.15972,126.85306
2020-04-12 09:00:00.000,46,0,세종특별자치시,36.4875,127.28167
2020-04-12 09:00:00.000,39,0,대전광역시,36.35111,127.385
2020-04-12 09:00:00.000,49,1,강원도,37.757687,128.873749
2020-04-12 09:00:00.000,115,0,경상남도,35.498692,128.747406
2020-04-12 09:00:00.000,1333,49,경상북도,35.837855,129.173126
2020-04-12 09:00:00.000,15,0,전라남도,34.946739,127.698212
2020-04-12 09:00:00.000,628,12,경기도,37.26389,127.179108
2020-04-12 09:00:00.000,139,0,충청남도,36.476515,127.082977
2020-04-12 09:00:00.000,12,0,제주특별자치도,35.958,126.712189
2020-04-12 09:00:00.000,45,0,충청북도,36.995972,127.926178
2020-04-12 09:00:00.000,17,0,전라북도,35.95133,126.951141
2020-04-13 09:00:00.000,46,0,세종특별자치시,36.4875,127.28167
2020-04-13 09:00:00.000,126,3,부산광역시,35.17944,129.07556
2020-04-13 09:00:00.000,6819,147,대구광역시,35.87222,128.6025
2020-04-13 09:00:00.000,87,0,인천광역시,37.45639,126.70528
2020-04-13 09:00:00.000,27,0,광주광역시,35.15972,126.85306
2020-04-13 09:00:00.000,39,0,대전광역시,36.35111,127.385
2020-04-13 09:00:00.000,41,1,울산광역시,35.53889,129.31667
